peak_location;start_window;end_window
2134.34;2083.93;2184.47
2134.78;2084.36;2184.92
2135.22;2084.79;2185.36
2135.65;2085.23;2185.8
2136.09;2085.66;2186.24
2136.53;2086.52;2186.69
2136.97;2086.96;2187.13
2137.4;2087.39;2187.57
2137.84;2087.82;2188.01
2138.28;2088.25;2188.46
2138.72;2088.69;2188.9
2139.15;2089.12;2189.34
2139.59;2089.55;2189.78
2140.03;2089.98;2190.23
2140.47;2090.42;2190.67
2140.9;2090.85;2191.11
2141.34;2091.28;2191.56
2141.78;2091.71;2192
2142.22;2092.15;2192.44
2142.66;2092.58;2192.89
2143.09;2093.01;2193.33
2143.53;2093.45;2193.77
2143.97;2093.88;2194.21
2144.41;2094.31;2194.66
2144.85;2094.74;2195.1
2145.29;2095.18;2195.54
2145.72;2095.61;2195.99
2146.16;2096.04;2196.43
2146.6;2096.48;2196.88
2147.04;2096.91;2197.32
2147.48;2097.34;2197.76
2147.92;2097.78;2198.21
2148.36;2098.21;2198.65
2148.79;2098.64;2199.09
2149.23;2099.08;2199.54
2149.67;2099.51;2199.98
2150.11;2099.94;2200.43
2150.55;2100.38;2200.87
2150.99;2100.81;2201.31
2151.43;2101.25;2201.76
2151.87;2101.68;2202.2
2152.3;2102.11;2202.65
2152.74;2102.55;2203.09
2153.18;2102.98;2203.53
2153.62;2103.42;2203.98
2154.06;2103.85;2204.42
2154.5;2104.28;2204.87
2154.94;2104.72;2205.31
2155.38;2105.15;2205.76
2155.82;2105.59;2206.2
2156.26;2106.02;2206.64
2156.7;2106.45;2207.09
2157.14;2106.89;2207.53
2157.58;2107.32;2207.98
2158.02;2107.76;2208.42
2158.46;2108.19;2208.87
2158.89;2108.63;2209.31
2159.33;2109.06;2209.76
2159.77;2109.5;2210.2
2160.21;2109.93;2210.65
2160.65;2110.36;2211.09
2161.09;2110.8;2211.54
2161.53;2111.23;2211.54
2161.97;2111.67;2211.98
2162.41;2112.1;2212.43
2162.85;2112.54;2212.87
2163.29;2112.97;2213.32
2163.73;2113.41;2213.76
2164.17;2113.84;2214.21
2164.61;2114.28;2214.65
2165.06;2114.71;2215.1
2165.5;2115.15;2215.54
2165.94;2115.58;2215.99
2166.38;2116.02;2216.44
2166.82;2116.46;2216.88
2167.26;2116.89;2217.33
2167.7;2117.33;2217.77
2168.14;2117.76;2218.22
2168.58;2118.2;2218.66
2169.02;2118.63;2219.11
2169.46;2119.07;2219.56
2169.9;2119.5;2220
2170.34;2119.94;2220.45
2170.78;2120.38;2220.89
2171.22;2120.81;2221.34
2171.67;2121.25;2221.79
2172.11;2121.68;2222.23
2172.55;2122.12;2222.68
2172.99;2122.55;2223.12
2173.43;2122.99;2223.57
2173.87;2123.86;2224.02
2174.31;2124.3;2224.46
2174.75;2124.73;2224.91
2175.19;2125.17;2225.36
2175.64;2125.61;2225.8
2176.08;2126.04;2226.25
2176.52;2126.48;2226.69
2176.96;2126.92;2227.14
2177.4;2127.35;2227.59
2177.84;2127.79;2228.03
2178.29;2128.23;2228.48
2178.73;2128.66;2228.93
2179.17;2129.1;2229.38
2179.61;2129.54;2229.82
2180.05;2129.97;2230.27
2180.49;2130.41;2230.72
2180.94;2130.85;2231.16
2181.38;2131.28;2231.61
2181.82;2131.72;2232.06
2182.26;2132.16;2232.5
2182.7;2132.59;2232.95
2183.15;2133.03;2233.4
2183.59;2133.47;2233.85
2184.03;2133.9;2234.29
2184.47;2134.34;2234.74
2184.92;2134.78;2235.19
